client_number,measurement_a,measurement_b,measurement_c,measurement_d,measurement_e,measurement_f,measurement_g
5,5253,377.89,13.9,71.91,75.0,123.27,175.81
8,6605,435.8,15.16,65.95,68.12,113.23,172.36
14,7085,484.72,14.62,68.39,70.42,114.88,174.84
0,8132,568.73,14.3,69.9,72.58,117.85,171.83
12,8762,598.73,14.63,68.3,70.04,114.78,170.3
7,11070,689.17,16.06,62.23,57.26,110.49,163.92
4,13082,694.92,18.83,53.1,29.93,107.71,158.83
3,10224,707.83,14.44,69.2,71.87,115.19,167.72
1,25239,754.6,33.45,29.89,12.11,103.35,133.89
18,11034,756.45,14.59,68.52,70.83,114.94,168.07
9,10862,771.16,14.09,70.96,71.8,115.77,165.92
15,11643,821.74,14.17,70.54,69.14,114.83,168.74
19,33805,835.25,40.47,24.7,12.14,100.28,115.91
13,14307,855.73,16.72,59.79,56.08,108.59,159.02
6,13121,974.88,13.46,74.26,73.3,114.13,164.07
11,46437,998.62,46.5,21.5,11.95,88.3,109.53
10,42208,1035.41,40.76,24.52,12.52,100.21,114.88
2,16038,1147.19,13.98,71.49,70.83,113.9,164.57
17,67372,1238.29,54.41,18.37,12.04,76.75,104.8
16,70682,1597.74,44.24,22.59,12.0,93.83,108.77
