client_number,measurement_a,measurement_b,measurement_c,measurement_d,measurement_e,measurement_f,measurement_g
5,5253,809.87,6.49,154.12,136.27,335.39,401.72
8,6605,1011.74,6.53,153.12,140.07,331.64,395.53
14,7085,1051.05,6.74,148.3,134.18,320.84,383.14
0,8132,1138.48,7.14,139.94,128.17,334.95,394.05
12,8762,1230.31,7.12,140.36,126.12,331.66,389.3
7,11070,1430.87,7.74,129.21,105.84,328.06,385.34
4,13082,1452.07,9.01,110.96,57.16,322.61,362.44
3,10224,1456.35,7.02,142.38,130.91,332.07,389.8
9,10862,1456.85,7.46,134.05,133.21,294.7,332.14
18,11034,1504.57,7.33,136.29,130.33,321.4,373.52
15,11643,1529.78,7.61,131.32,129.0,248.91,327.73
1,25239,1596.54,15.81,63.23,28.21,195.17,332.3
13,14307,1798.25,7.96,125.64,109.28,319.9,347.69
19,33805,1820.36,18.57,53.83,27.75,195.2,326.91
6,13121,1961.41,6.69,149.42,140.56,328.44,381.09
11,46437,2157.5,21.52,46.44,28.15,171.36,289.19
2,16038,2239.39,7.16,139.56,132.55,325.29,374.35
10,42208,2262.74,18.65,53.59,28.21,192.19,327.79
17,67372,2734.63,24.64,40.58,28.21,137.16,313.6
