client_number,measurement_a,measurement_b,measurement_c,measurement_d,measurement_e,measurement_f,measurement_g
5,5253,820.94,6.4,156.22,136.92,345.25,407.07
8,6605,1008.17,6.55,152.59,138.25,334.27,393.92
14,7085,1082.65,6.54,152.76,139.01,331.81,392.76
0,8132,1121.7,7.25,137.88,127.43,322.56,380.48
12,8762,1223.19,7.16,139.54,126.8,323.7,384.4
4,13082,1428.55,9.16,109.16,56.66,323.82,376.46
7,11070,1443.13,7.67,130.31,106.98,329.79,385.32
3,10224,1464.75,6.98,143.2,132.57,330.08,383.81
9,10862,1471.87,7.38,135.44,134.35,297.72,335.09
18,11034,1473.31,7.49,133.46,126.94,324.04,372.42
15,11643,1558.93,7.47,133.83,131.19,255.48,336.63
1,25239,1640.47,15.39,64.97,29.42,202.08,339.71
13,14307,1798.63,7.95,125.67,109.46,317.79,341.73
19,33805,1803.72,18.74,53.34,28.16,185.95,331.44
6,13121,1980.79,6.62,150.89,142.18,336.04,386.36
11,46437,2174.65,21.35,46.81,28.5,169.8,297.2
2,16038,2257.81,7.1,140.71,134.92,319.74,364.17
10,42208,2285.4,18.47,54.13,29.05,189.82,334.74
17,67372,2757.22,24.43,40.91,28.69,134.2,321.65
16,70682,3456.44,20.45,48.88,28.64,173.0,323.46
