client_number,measurement_a,measurement_b,measurement_c,measurement_d,measurement_e,measurement_f,measurement_g
5,5253,620.01,8.47,117.97,128.42,189.46,264.63
8,6605,743.73,8.88,112.55,118.67,189.58,252.28
14,7085,809.28,8.75,114.17,120.8,186.58,257.12
0,8132,948.53,8.57,116.58,124.75,190.55,254.63
12,8762,998.82,8.77,113.94,120.12,190.88,250.15
4,13082,1200.28,10.9,91.71,54.04,184.94,239.38
7,11070,1203.26,9.2,108.64,102.89,190.24,246.22
3,10224,1227.67,8.33,120.01,127.5,194.1,255.96
18,11034,1294.39,8.52,117.24,124.36,193.1,251.55
1,25239,1302.3,19.38,51.57,20.99,177.88,205.87
9,10862,1371.6,7.92,126.2,130.13,202.26,260.38
15,11643,1399.63,8.32,120.14,120.3,194.5,249.45
19,33805,1463.97,23.09,43.29,21.06,178.95,201.16
13,14307,1528.61,9.36,106.79,101.87,193.63,243.95
6,13121,1663.52,7.89,126.71,127.57,189.41,252.69
11,46437,1750.34,26.53,37.67,21.0,160.23,196.84
10,42208,1755.09,24.05,41.56,20.8,172.77,195.61
2,16038,2016.06,7.96,125.64,128.15,198.04,251.65
17,67372,2112.81,31.89,31.35,20.49,132.34,185.5
16,70682,2817.82,25.08,39.85,20.81,172.11,200.06
